conference_id,Link,Sub,Noti,Cam,Conf,Successfully,Note,Đúng 100%,812,Còn lại,44,Error,111
6639c043647e53b594533c9d,https://sites.google.com/view/sigite2024,y,y,y,y,y,mọi thông tin nằm trên PDF :v,,,,,,
6639c02c647e53b594533c85,https://www.iaria.org/conferences2024/INFOCOMP24.html,y,y,y,y,y,"lấy 2024, có cả 2023 và 2025 nhưng ko lấy",,,,,,
6639c033647e53b594533c8d,https://conferences.sigcomm.org/sigcomm/2024/cfp/,y,y,,y,y,,,,,,,
6639c03c647e53b594533c95,https://sensys.acm.org/2024/cfp/,y,y,,y,y,,,,,,,
6639c048647e53b594533ca3,https://conferences.sigcomm.org/co-next/2024/#!/home,y,y,y,y,y,,,,,,,
6639c075647e53b594533cd5,https://2024.sigmod.org/calls_papers_sigmod_research.shtml,y,y,y,y,y,"4 round: keyword = round + keyword, tổ chức chung với PODS, PODS thì có ngày rõ ràng cái này thì không",,,,,,
6639c079647e53b594533cd9,https://www.sacmat.org/2024/call-for-papers.php,y,y,y,y,y,"có nhiều event trùng keyword, chỉ lấy event của research paper",,,,,,
6639c081647e53b594533ce1,https://www.podc.org/podc2024/call-for-papers/,y,y,y,y,y,,,,,,,
6639c1686e0c3f3fe99c55fd,https://i3dsymposium.org/2024/index.html,y,y,y,y,y,có call for poster nữa nhưng ko lấy,,,,,,
6639c16e6e0c3f3fe99c5603,https://mswimconf.com/2023/,y,y,y,y,y,link cfp: https://mswimconf.com/2023/cfp.htm,,,,,,
6639c1706e0c3f3fe99c5605,https://acm-ieee-sec.org/2024/call_for_papers.php,y,y,y,y,y,,,,,,,
6639c1736e0c3f3fe99c5609,https://www.siam.org/conferences/cm/conference/soda24,y,,,y,y,ko có call for paper,,,,,CallForPaper,
6639c04c647e53b594533ca7,https://iss2024.acm.org/,y,y,,y,y,đang đc update,,,,,Location,
6639c04d647e53b594533ca9,https://kdd2024.kdd.org/research-track-call-for-papers/,y,y,y,y,y,,,,,,CameraReady,
6639c05e647e53b594533cbb,https://www.hpdc.org/2024/calls-cfp.html,y,y,y,y,y,,,,,,,
6639c060647e53b594533cbd,https://iwcmc.net/2024/index.php,y,y,y,y,y,ko rõ cfp,,,,,,
6639c061647e53b594533cbf,https://2024.acmmm.org/regular-papers,y,y,y,y,y,,,,,,,
6639c063647e53b594533cc1,https://s2024.siggraph.org/program/technical-papers/,y,y,,y,y,"có 2 cfp 1 cái conference trong nó, 1 cái thêm chữ Asia",,,,,,
6639c07d647e53b594533cdd,https://www.documentengineering.org/doceng2024,y,y,y,y,y,,,,,,,
6639c03f647e53b594533c99,https://2024.splashcon.org/track/splash-2024-oopsla#Call-for-Papers,y,y,y,y,y,,,,,,,
6639c030647e53b594533c89,https://www.humancomputation.com/,y,y,,y,y,vô group này để lấy cfp nhưng ko rõ là cái nào https://groups.google.com/g/crowd-hcomp,,,,,,
6639c045647e53b594533c9f,https://aceconference2024.github.io/aceconference2024/authors.html,y,y,,y,y,,,,,,,
6639c065647e53b594533cc3,https://computeranimation.org/instructions.html,y,y,y,y,y,,,,,,,
6639c06b647e53b594533cc9,https://sigops.org/s/conferences/sosp/2024/cfp.html,y,y,y,y,y,,,,,,,
6639c06d647e53b594533ccb,https://pldi24.sigplan.org/home/LCTES-2024,y,y,y,y,y,,,,,,,
6639c070647e53b594533ccf,https://sigsim.acm.org/conf/pads/2024/blog/cfp/,y,y,,y,y,,,,,,,
6639c072647e53b594533cd1,https://siguccs.org/Conference/2024/program/call-for-proposals/,y,y,y,y,y,có final paper due chắc ~ cam,,,,,,
6639c084647e53b594533ce5,http://acm-stoc.org/stoc2024/,y,y,y,y,y,có final paper due chắc ~ cam,,,,,,
6639c1626e0c3f3fe99c55f7,https://conferences.sigcomm.org/hotnets/2024/,y,y,y,y,y,,,,,,,
6639c1666e0c3f3fe99c55fb,https://pldi24.sigplan.org/track/pldi-2024-papers#Call-for-Papers,y,y,y,y,y,,,,,,,
6639c1796e0c3f3fe99c560f,http://acivs.org/acivs2023/callforpapers.php,y,y,y,y,y,từ nay về sau ko lấy registration,,,,,,
6639c038647e53b594533c91,https://cscw.acm.org/2024/index.php/submit-papers/,y,,,y,y,date_type dài cần fe test,,,,,,
6639c04a647e53b594533ca5,https://cikm2024.org/,y,y,y,y,y,nhiều call cho nhiều loại paper -> lấy tạm 1 cái full paper,,,,,,
6639c053647e53b594533caf,https://sigir-2024.github.io/,y,y,,y,y,nhiều call cho nhiều loại paper -> lấy tạm 1 cái full paper,,,,,,
6639c055647e53b594533cb1,https://ics2024.github.io/cfp.html,y,y,y,y,y,,,,,,,
6639c059647e53b594533cb5,https://www.wsdm-conference.org/2024/call-for-papers/,y,y,y,y,y,"chứa virtual nhưng là offline ""in-person conference with virtual elements""",,,,,,
6639c05a647e53b594533cb7,https://www.ubicomp.org/ubicomp-iswc-2024/,,,,y,n,"[HELP] tổ chức cùng ISWC, khá nhiều ngày/track và không rõ ràng cái nào là của UbiComp, Chỉ có call for poster and demos và iswc design exhibitions là có conference date, main track có ngày nhưng ko có tên ngày, đọc thì hiểu tất cả là submisstion deadline nhưng là dành cho IMWUT",,,,,,
6639c06e647e53b594533ccd,https://popl24.sigplan.org/home/pepm-2024#Call-for-Papers,y,y,y,y,y,,,,,,,
6639c16c6e0c3f3fe99c5601,https://humanrobotinteraction.org/2024/fullpaper/,y,y,y,,y,"Hybrid ??? , cái này đã diễn ra, phải suy ra conf date từ schedule",,,,,,
6639c02e647e53b594533c87,https://cs-conferences.acadiau.ca/ant-24/#importantDates,y,y,y,y,y,,,,,,,
6639c031647e53b594533c8b,https://acisinternational.org/conferences/sera-2024/,y,y,y,y,y,,,,,,,
6639c03a647e53b594533c93,https://ec24.sigecom.org/,y,y,y,y,y,có Virtual Preview Week nhưng diễn ra trước conference -> offline ?,,,,,,
6639c035647e53b594533c8f,https://www.sigsac.org/ccs/CCS2024/call-for/call-for-papers.html,y,y,,y,y,,,,,,,
6639c069647e53b594533cc7,https://2024.sigmod.org/calls_papers_pods_research.shtml,y,y,,y,y,,,,,,,
6639c073647e53b594533cd3,https://sigcse2024.sigcse.org/,y,y,y,y,y,Final Submissions Due (for accepted work) = December (precise dates to be determined),,,,,,
6639c077647e53b594533cd7,https://group.acm.org/conferences/group25/papers.php,y,y,,y,y,này là 2025,,,,,,
6639c1606e0c3f3fe99c55f5,https://vrst.hosting.acm.org/vrst2024/submitting/,y,y,y,y,y,,,,,,,
6639c1756e0c3f3fe99c560b,https://icpe2024.spec.org/important-dates/,y,y,y,y,y,nhiều track nhưng chỉ lấy research track,,,,,,
6639c03e647e53b594533c97,https://esweek.org/emsoft-call-for-wip-papers/,y,y,y,y,y,,,,,,,
6639c04f647e53b594533cab,https://www.sigmobile.org/mobicom/2024/,y,y,,y,y,,,,,,,
